name,team,position,height,weight,age
Adam Donachie, BAL, Catcher, 74, 180, 22.99
Paul Bako,, Catcher, 74, 215, 34.69
Ramon Hernandez, BAL, Catcher, 72, 210, 30.78
Kevin Millar, BAL, First Baseman, 72, 210, 35.43
Chris Gomez,, First Baseman, 73, 188, 35.71
Brian Roberts, BAL, Second Baseman, 69, 176, 29.39
